1,2.02 - SENADO FEDERAL,t,1,2015-09-27T21:16:26.707+00:00,2015-09-28T12:24:53.666+00:00
2,2.07 - ANEEL,t,1,2015-09-27T21:28:22.789+00:00,2015-09-28T12:21:13.043+00:00
3,2.16 - BULHÕES E JACCOUD,t,1,2015-09-27T21:36:33.438+00:00,2015-09-28T12:23:57.577+00:00
4,2.39 - A.G.U.,t,1,2015-09-27T21:45:45.707+00:00,2015-09-28T12:20:42.361+00:00
5,FA-EMPREENDIMENTOS AGROPECUÁRIOS,t,2,2015-09-27T22:34:16.853+00:00,2015-09-27T22:34:16.853+00:00
6,2.46 - BANCO CENTRAL,t,1,2015-09-27T22:45:26.350+00:00,2015-09-28T12:21:44.304+00:00
7,2.04 - MAER/GAP (GRUP.),t,1,2015-09-27T22:46:10.516+00:00,2015-09-28T12:22:20.707+00:00
9,2.01 - ADMINISTRAÇÃO CENTRAL,t,1,2015-09-28T12:20:26.503+00:00,2015-09-28T12:20:26.503+00:00
10,2.05 - MAER/GAB,t,1,2015-09-28T12:22:40.634+00:00,2015-09-28T12:22:40.634+00:00
11,2.25 - MPDFT ,t,1,2015-09-28T12:25:25.276+00:00,2015-09-28T12:33:49.554+00:00
12,2.45 - DATAPREV,t,1,2015-09-28T12:28:10.149+00:00,2015-09-28T12:28:10.149+00:00
13,2.09 - CÂMARA DOS DEPUTADOS,f,1,2015-09-28T12:32:42.597+00:00,2015-09-30T11:53:11.619+00:00
14,2.13 - ANTAQ (MANUT. EXTERNA),t,1,2015-09-28T12:33:01.235+00:00,2015-09-28T12:33:01.235+00:00
15,2.14 - B.I.D.,t,1,2015-09-28T12:33:28.255+00:00,2015-09-28T12:33:28.255+00:00
16,2.13 - BRB MANUTENÇÃO,t,3,2015-09-28T17:24:51.149+00:00,2015-09-28T18:32:56.421+00:00
17,MANUTENÇÃO EXTERNA ,t,1,2015-09-28T18:13:55.835+00:00,2015-09-28T18:13:55.835+00:00
18,2.14 - ECT-CORREIOS,t,3,2015-09-28T18:32:29.287+00:00,2015-09-28T18:32:29.287+00:00
19,ESTOQUE ADM,t,1,2015-10-01T13:18:56.672+00:00,2015-10-01T13:18:56.672+00:00
20,2.19 - FERRAZ CONSÓRCIOS,t,1,2015-10-02T14:31:24.692+00:00,2015-10-02T14:31:24.692+00:00
21,2.49 ANATEL,t,1,2015-11-10T19:24:23.269+00:00,2015-12-01T11:42:59.919+00:00
22,EXTREME FIT,t,3,2015-11-16T18:36:52.154+00:00,2015-12-09T11:48:45.745+00:00
23,LOJA MAXFORMER ,t,3,2015-11-26T13:30:19.796+00:00,2015-12-09T11:48:54.355+00:00
24,RESIDENCIA MAURICIO,t,3,2015-11-26T13:30:37.868+00:00,2015-11-26T13:30:49.199+00:00
25,PRESIDENCIA,t,1,2016-02-25T13:58:08.605+00:00,2016-02-25T13:58:08.605+00:00
26,RH-ENTHERM,t,1,2016-06-30T13:50:45.393+00:00,2016-06-30T13:51:06.579+00:00
27,FRANCISCO ,t,,2016-07-12T12:11:51.216+00:00,2016-07-12T12:11:51.216+00:00
28,SENADO EQUIPE DE APOIO ,t,3,2016-07-20T19:15:18.336+00:00,2016-07-20T19:15:18.336+00:00
