id,title,status,created_at,updated_at
1,Refrigeração em Geral e Aparelhos ,t,2015-09-27T21:18:36.762+00:00,2015-09-27T21:18:36.762+00:00
2,"Grelhas, Exaustores, Isolamento ",t,2015-09-27T21:31:56.350+00:00,2015-09-28T14:43:30.133+00:00
3,Elétrica em Geral,t,2015-09-27T21:37:00.651+00:00,2015-09-27T21:37:00.651+00:00
4,"Conserto de Bombas, Motores em geral",t,2015-09-27T21:46:19.919+00:00,2015-09-27T21:46:19.919+00:00
5,Gás/Nitrogênio/Acetileno/Oxigênio e Locação cilindros,t,2015-09-27T22:01:52.487+00:00,2015-09-27T22:01:52.487+00:00
6,Isolamentos/Mantas térmicas/Fitas,t,2015-09-27T22:06:54.276+00:00,2015-09-27T22:06:54.276+00:00
7,Valvulas/Atuadores/Termostatos,t,2015-09-27T22:11:45.978+00:00,2015-09-27T22:11:45.978+00:00
8,Pneus e acessórios,t,2015-09-27T22:27:09.673+00:00,2015-09-27T22:42:54.960+00:00
9,Correias,t,2015-09-27T22:42:29.771+00:00,2015-09-27T22:42:42.518+00:00
10,Limpeza de dutos e bandejas,t,2015-09-28T14:22:45.297+00:00,2015-09-28T14:22:45.297+00:00
11,Tintas e acessórios para pintura,t,2015-09-28T14:53:47.361+00:00,2015-09-28T14:53:47.361+00:00
12,Cestas Basica,t,2015-09-28T14:54:11.385+00:00,2015-09-28T14:54:11.385+00:00
13,Chapas e galvanizados,t,2015-09-28T18:36:26.203+00:00,2015-09-28T18:36:26.203+00:00
14,Dedetização,t,2015-09-28T18:48:52.542+00:00,2015-09-28T18:48:52.542+00:00
15,Produtos de limpeza em geral,t,2015-09-28T18:54:46.722+00:00,2015-09-28T18:55:06.447+00:00
16,Uniformes,t,2015-09-28T19:17:10.072+00:00,2015-09-28T19:17:10.072+00:00
17,"Correias,pilhas,ferramentas e diversos",t,2015-09-28T19:45:28.973+00:00,2015-09-28T19:45:28.973+00:00
19,"Divisórias,placas e forros",t,2015-10-01T14:22:01.511+00:00,2015-10-01T14:22:01.511+00:00
20,RECARGA DE CARTUCHO,t,2015-10-01T18:32:57.427+00:00,2015-10-01T18:32:57.427+00:00
21,Gasolina,t,2015-10-01T18:38:23.968+00:00,2015-10-01T18:38:23.968+00:00
22,Papelaria,t,2015-10-01T18:59:24.061+00:00,2015-10-01T18:59:24.061+00:00
23,Locação de relógio de ponto,t,2015-10-01T19:04:11.355+00:00,2015-10-01T19:04:11.355+00:00
24,Locação de maquina de xerox,t,2015-10-01T19:08:03.548+00:00,2015-10-01T19:08:03.548+00:00
25,Conserto de Bombas Motores em geral,t,2015-10-01T19:53:28.636+00:00,2015-10-01T19:53:28.636+00:00
26,Tubos PVC,t,2015-10-01T20:03:20.601+00:00,2015-10-01T20:03:20.601+00:00
27,Recarga de cartucho,t,2015-10-01T20:08:35.535+00:00,2015-10-01T20:09:00.868+00:00
28,Grelha,t,2015-10-01T20:37:10.341+00:00,2015-10-01T20:37:10.341+00:00
29,Frete,t,2015-10-02T13:23:34.291+00:00,2015-10-02T13:23:34.291+00:00
30,Diversos,t,2015-10-02T14:39:44.770+00:00,2015-10-02T14:39:44.770+00:00
31,Oficina mecanica,t,2015-10-02T15:06:26.220+00:00,2015-10-02T15:06:26.220+00:00
32,Detectores de Incendio,t,2015-10-05T20:01:19.788+00:00,2015-10-05T20:01:19.788+00:00
33,Construção Civil,t,2015-10-06T13:50:21.539+00:00,2015-10-06T13:50:21.539+00:00
34,Forros de pvc,t,2015-10-06T14:15:30.897+00:00,2015-10-06T14:15:30.897+00:00
35,Baners/impresão em lona/adesivos,t,2015-10-08T13:47:00.470+00:00,2015-10-08T13:47:00.470+00:00
36,Automação e serviços de atualização carrier,t,2015-10-13T19:14:27.559+00:00,2015-10-13T19:14:27.559+00:00
37,Óleo e lubrificantes,f,2015-10-15T14:19:10.751+00:00,2015-10-15T14:19:10.751+00:00
38,Ferramentas,f,2015-10-20T19:03:23.848+00:00,2015-10-20T19:03:23.848+00:00
