1,Acre,AC,2015-09-27T21:14:18.070+00:00,2015-09-27T21:14:18.070+00:00
2,Alagoas,AL,2015-09-27T21:14:18.380+00:00,2015-09-27T21:14:18.380+00:00
3,Amazonas,AM,2015-09-27T21:14:19.577+00:00,2015-09-27T21:14:19.577+00:00
4,Amapá,AP,2015-09-27T21:14:20.561+00:00,2015-09-27T21:14:20.561+00:00
5,Bahia,BA,2015-09-27T21:14:20.918+00:00,2015-09-27T21:14:20.918+00:00
6,Ceará,CE,2015-09-27T21:14:24.413+00:00,2015-09-27T21:14:24.413+00:00
7,Distrito Federal,DF,2015-09-27T21:14:25.864+00:00,2015-09-27T21:14:25.864+00:00
8,Espírito Santo,ES,2015-09-27T21:14:25.879+00:00,2015-09-27T21:14:25.879+00:00
9,Goiás,GO,2015-09-27T21:14:26.475+00:00,2015-09-27T21:14:26.475+00:00
10,Maranhão,MA,2015-09-27T21:14:28.422+00:00,2015-09-27T21:14:28.422+00:00
11,Minas Gerais,MG,2015-09-27T21:14:30.235+00:00,2015-09-27T21:14:30.235+00:00
12,Mato Grosso do Sul,MS,2015-09-27T21:14:40.713+00:00,2015-09-27T21:14:40.713+00:00
13,Mato Grosso,MT,2015-09-27T21:14:41.706+00:00,2015-09-27T21:14:41.706+00:00
14,Pará,PA,2015-09-27T21:14:43.585+00:00,2015-09-27T21:14:43.585+00:00
15,Paraíba,PB,2015-09-27T21:14:45.393+00:00,2015-09-27T21:14:45.393+00:00
16,Pernambuco,PE,2015-09-27T21:14:47.583+00:00,2015-09-27T21:14:47.583+00:00
17,Piauí,PI,2015-09-27T21:14:49.305+00:00,2015-09-27T21:14:49.305+00:00
18,Paraná,PR,2015-09-27T21:14:51.558+00:00,2015-09-27T21:14:51.558+00:00
19,Rio de Janeiro,RJ,2015-09-27T21:14:55.445+00:00,2015-09-27T21:14:55.445+00:00
20,Rio Grande do Norte,RN,2015-09-27T21:14:56.217+00:00,2015-09-27T21:14:56.217+00:00
21,Rondônia,RO,2015-09-27T21:14:57.925+00:00,2015-09-27T21:14:57.925+00:00
22,Roraima,RR,2015-09-27T21:14:58.413+00:00,2015-09-27T21:14:58.413+00:00
23,Rio Grande do Sul,RS,2015-09-27T21:14:58.613+00:00,2015-09-27T21:14:58.613+00:00
24,Santa Catarina,SC,2015-09-27T21:15:11.196+00:00,2015-09-27T21:15:11.196+00:00
25,Sergipe,SE,2015-09-27T21:15:15.722+00:00,2015-09-27T21:15:15.722+00:00
26,São Paulo,SP,2015-09-27T21:15:16.605+00:00,2015-09-27T21:15:16.605+00:00
27,Tocantins,TO,2015-09-27T21:15:31.867+00:00,2015-09-27T21:15:31.867+00:00
